,SNID,time,flux,fluxerr,object_index,band_index,norm_factor
1017,1028.0,6.0,0.8418554976503366,0.009915426168937392,5,0,"[7.457062700000001, 19.21339]"
1020,1028.0,12.0,0.6269232030370486,0.00933429550953788,5,0,"[7.457062700000001, 19.21339]"
1023,1028.0,18.0,0.459367191318138,0.00885484550097614,5,0,"[7.457062700000001, 19.21339]"
1108,1765.0,-6.0,0.431715996016262,0.002889340132226564,6,1,"[81.34069000000001, 49.735657]"
1111,1765.0,0.0,1.0,0.003915961371854603,6,1,"[81.34069000000001, 49.735657]"
1114,1765.0,6.0,0.6947389799619353,0.003403216397598791,6,1,"[81.34069000000001, 49.735657]"
1117,1765.0,12.0,0.45538085551032326,0.002939255248510923,6,1,"[81.34069000000001, 49.735657]"
1120,1765.0,18.0,0.30005855617895544,0.002594165355617219,6,1,"[81.34069000000001, 49.735657]"
1193,1765.0,-6.0,0.7181793134852928,0.004751126540863831,6,0,"[81.34069000000001, 49.735657]"
1196,1765.0,0.0,1.0,0.005314092261815301,6,0,"[81.34069000000001, 49.735657]"
1199,1765.0,6.0,0.9663453324844988,0.0052500382170481835,6,0,"[81.34069000000001, 49.735657]"
1202,1765.0,12.0,0.8698954152752018,0.005061981185852234,6,0,"[81.34069000000001, 49.735657]"
1205,1765.0,18.0,0.7779868475448106,0.004876034511819156,6,0,"[81.34069000000001, 49.735657]"
1273,229.0,-6.0,0.4548662191053694,0.0019937196696241336,7,1,"[148.51448, 98.112404]"
1276,229.0,0.0,1.0,0.002765048768308653,7,1,"[148.51448, 98.112404]"
1279,229.0,6.0,0.7667937160066817,0.002464799055284037,7,1,"[148.51448, 98.112404]"
1282,229.0,12.0,0.5414052892350969,0.0021348572879896963,7,1,"[148.51448, 98.112404]"
1285,229.0,18.0,0.3781467436710549,0.0018596610916322774,7,1,"[148.51448, 98.112404]"
1348,229.0,-6.0,0.7963802415849479,0.003194847819649797,7,0,"[148.51448, 98.112404]"
1351,229.0,0.0,1.0,0.003504629241375025,7,0,"[148.51448, 98.112404]"
1354,229.0,6.0,0.9504738055343135,0.003431856078055126,7,0,"[148.51448, 98.112404]"
1357,229.0,12.0,0.8655920815068399,0.0033034054491213978,7,0,"[148.51448, 98.112404]"
1360,229.0,18.0,0.7434655255211156,0.003109296659370409,7,0,"[148.51448, 98.112404]"
1428,7680.0,-6.0,0.8249758164816436,0.003856137194386714,8,1,"[73.8106, 133.71563999999998]"
1431,7680.0,0.0,1.0,0.004152235315794751,8,1,"[73.8106, 133.71563999999998]"
1434,7680.0,6.0,0.7970992377788557,0.0038068513194581812,8,1,"[73.8106, 133.71563999999998]"
1437,7680.0,12.0,0.5292110076330501,0.003295864008692519,8,1,"[73.8106, 133.71563999999998]"
1440,7680.0,18.0,0.32057987606116195,0.0028348093634247657,8,1,"[73.8106, 133.71563999999998]"
1602,7680.0,-6.0,0.8331354507221445,0.0027121703938297716,8,0,"[73.8106, 133.71563999999998]"
1605,7680.0,0.0,1.0,0.002933219180643342,8,0,"[73.8106, 133.71563999999998]"
1608,7680.0,6.0,0.8977471146980265,0.0027998340358689534,8,0,"[73.8106, 133.71563999999998]"
1611,7680.0,12.0,0.6753923774361774,0.002485191709810461,8,0,"[73.8106, 133.71563999999998]"
1614,7680.0,18.0,0.4533946365585957,0.0021250775152405503,8,0,"[73.8106, 133.71563999999998]"
1767,6124.0,-6.0,0.6906967536084695,0.016628378149729676,9,1,"[9.869974, 32.147415]"
1770,6124.0,0.0,1.0,0.017545391710251722,9,1,"[9.869974, 32.147415]"
1773,6124.0,6.0,0.8845679836643947,0.017208878159152192,9,1,"[9.869974, 32.147415]"
1776,6124.0,12.0,0.6580555328717179,0.01652863624564766,9,1,"[9.869974, 32.147415]"
1779,6124.0,18.0,0.4683245062246365,0.01593652425021586,9,1,"[9.869974, 32.147415]"
1877,6124.0,-6.0,0.9251824446848992,0.006945993324813208,9,0,"[9.869974, 32.147415]"
1880,6124.0,0.0,1.0,0.007111550648784669,9,0,"[9.869974, 32.147415]"
1883,6124.0,6.0,0.8534239844790008,0.006783410112446054,9,0,"[9.869974, 32.147415]"
1886,6124.0,12.0,0.6139124716559636,0.006210011598133162,9,0,"[9.869974, 32.147415]"
1889,6124.0,18.0,0.41796803879876493,0.005698162667200457,9,0,"[9.869974, 32.147415]"
1976,6207.0,-6.0,0.9458990345123673,0.008412378480047947,10,1,"[24.820204, 55.808903]"
1979,6207.0,0.0,1.0,0.008540949139660572,10,1,"[24.820204, 55.808903]"
1982,6207.0,6.0,0.7749875867257174,0.007992630116980506,10,1,"[24.820204, 55.808903]"
1985,6207.0,12.0,0.535116713786881,0.007363272678983622,10,1,"[24.820204, 55.808903]"
1988,6207.0,18.0,0.26872142549674444,0.006594299950153512,10,1,"[24.820204, 55.808903]"
2074,6207.0,-6.0,0.9021034869651532,0.004756425153169558,10,0,"[24.820204, 55.808903]"
2077,6207.0,0.0,1.0,0.004937379614861808,10,0,"[24.820204, 55.808903]"
