,SNID,time,flux,fluxerr,object_index,band_index,norm_factor
0,5081715,-1.4000000000000004,1.24627801434902,0.2875776942116386,0,1,265.4405844771775
1,5081715,0.0,1.0,0.24983292786736883,0,0,265.4405844771775
2,6596653,-0.9999999999999996,0.6023283214284118,0.14378916128477673,1,1,494.68131992118236
3,6596653,0.0,0.3579755274336274,0.09579089143151463,1,1,494.68131992118236
4,6596653,0.0,1.0,0.17706671132213958,1,0,494.68131992118236
5,6596653,0.7999999999999998,0.8703675975196257,0.17025176702056696,1,0,494.68131992118236
6,6596653,1.0,0.8114966924063286,0.16632631225508507,1,0,494.68131992118236
7,9086177,-2.0,2.17505034046912,0.029492137214786378,2,1,22362.16609539008
8,9086177,-1.9000000000000004,1.9476054319852898,0.026853047701900546,2,1,22362.16609539008
9,9086177,1.9,0.052008478203006955,0.005610462654144048,2,1,22362.16609539008
10,9086177,0.0,1.0,0.013668756894862183,2,0,22362.16609539008
11,9086177,1.0,0.5934065957229495,0.009588763690702749,2,0,22362.16609539008
12,9086177,1.9999999999999996,0.4020654811772186,0.007878351116033367,2,0,22362.16609539008
13,9086177,2.9999999999999996,0.2891991625569558,0.0069204815402804645,2,0,22362.16609539008
14,3393105,-4.3,2.9010910832921852,0.4004699772451437,3,1,282.06311305996985
15,3393105,-4.1,2.6208378235472773,0.3877383159405942,3,1,282.06311305996985
16,3393105,-4.1,2.6208378235472773,0.3877383159405942,3,1,282.06311305996985
17,3393105,0.0,1.0,0.24531983354106893,3,0,282.06311305996985
18,3393105,0.0,1.0,0.24531983354106893,3,0,282.06311305996985
19,3393105,0.6000000000000005,0.8089536121751947,0.21119585728186707,3,0,282.06311305996985
20,3393105,1.6000000000000005,0.5936141348795663,0.1686281316810506,3,0,282.06311305996985
21,5800153,0.10000000000000003,0.7412854480770651,0.17683023461319664,4,1,403.2343687542231
22,5800153,0.2,0.6880830429689767,0.16698216721194845,4,1,403.2343687542231
23,5800153,0.0,1.0,0.20436420140812747,4,0,403.2343687542231
24,1595262,-2.1,1.207872505512583,0.2966149282718868,5,1,218.04635980660598
25,1595262,0.0,1.0,0.2644469057079765,5,0,218.04635980660598
26,1595262,0.2999999999999998,0.8635423433673243,0.23777460223094546,5,0,218.04635980660598
27,4239785,0.10000000000000009,1.327422459228952,0.19095074558036973,6,1,579.6350762783198
28,4239785,0.30000000000000004,1.417836581454584,0.1951950846974254,6,1,579.6350762783198
29,4239785,1.0,1.4121305467300007,0.19489814323771087,6,1,579.6350762783198
30,4239785,2.9,0.46043753198539816,0.11273022565005944,6,1,579.6350762783198
31,4239785,-0.8,0.491819610885678,0.12026484800251992,6,0,579.6350762783198
32,4239785,0.0,1.0,0.1597726386261137,6,0,579.6350762783198
33,4239785,3.9999999999999996,0.8592916819907379,0.1513672086754503,6,0,579.6350762783198
34,4239785,4.1,0.8147001978744639,0.14931028655600712,6,0,579.6350762783198
35,1274594,0.0,0.5145090079326273,0.1293771591457259,7,1,460.33579917964033
36,1274594,0.0,1.0,0.18667679170988652,7,0,460.33579917964033
37,4782086,2.0,0.07567892774875287,0.015928495764937177,8,1,5316.050116426717
38,4782086,0.0,1.0,0.026955783625002096,8,0,5316.050116426717
39,4782086,2.0,0.2876021610659935,0.0212415206900954,8,0,5316.050116426717
40,4782086,3.1,0.15788951244202448,0.019140600020043964,8,0,5316.050116426717
41,4782086,4.8,0.07616421849020819,0.015523490235946373,8,0,5316.050116426717
42,9433599,-2.0,0.7386796713259327,0.19763980109935564,9,1,239.87029220206978
43,9433599,-1.0,0.8403807554902664,0.21883664957385657,9,1,239.87029220206978
44,9433599,-0.8999999999999999,0.81232073636108,0.2130602576151415,9,1,239.87029220206978
45,9433599,0.0,1.0,0.2573591848339813,9,0,239.87029220206978
46,7838862,-2.0,0.36245105625908747,0.045188817689906874,10,1,2638.1982436805306
47,7838862,-2.0,0.5909411697465192,0.04295203080894846,10,0,2638.1982436805306
48,7838862,0.0,1.0,0.0467349084596443,10,0,2638.1982436805306
49,7838862,0.0,1.0,0.0467349084596443,10,0,2638.1982436805306
50,7838862,3.7999999999999994,0.24019999148209417,0.03608719260817477,10,0,2638.1982436805306
